task,cnn_random,lstm_random,cnn_temporal,lstm_temporal
task_1-1,0.2091217825686578,0.2215076005910628,0.6191776346227679,0.6231899593551996
task_1-2,0.047335441226052,0.0510114999249271,0.1348540324899733,0.1253976311048028
task_1-3,0.1480794763434568,0.1590975089882923,0.5015888573612428,0.2567178893240976
task_2-1,0.2750939610791211,0.2197434785199196,1.7569501335990971,0.559740035396332
task_2-2,0.0662221148722783,0.0567712679448369,0.1339238704732928,0.1251012164260255
task_2-3,0.1357895444981762,0.1262585857531171,0.2295876777201305,0.1937250791588149
task_3-1,0.396215161902654,0.374334013951736,0.3807084085786277,0.3581364024053191
task_3-2,0.3308501416531454,0.3353210216084612,0.910981047393128,0.9275317468849432
task_3-3,0.3859040411164596,0.3187046983341461,0.7520424420308183,1.471761899035624
task_4-1,0.2750894114114292,0.2274409478126018,1.097001663966927,1.178805224203992
task_4-2,0.2736498374241773,0.2285956354583294,3.060324604954125,1.144469540509095
task_4-3,0.1291251602271962,0.1179391806924863,1.3249022840100415,0.8198380213833751
task_4-4,0.5299140102485304,0.4039427075859352,0.5785643350838686,0.4953925051418017
task_4-5,0.6506700747421676,0.6487979857015866,1.0178842611260008,0.7309477922759036
