task,cnn_random,lstm_random,cnn_temporal,lstm_temporal,cnn_random_vs_lstm_random,cnn_temporal_vs_lstm_temporal,cnn_random_vs_cnn_temporal,lstm_random_vs_lstm_temporal
task_1-1,"(458240, 8257)","(458240, 8257)","(334848, 6127)","(334848, 6127)",True,True,False,False
task_1-2,"(580608, 8382)","(580608, 8382)","(428032, 6237)","(428032, 6237)",True,True,False,False
task_1-3,"(653312, 8403)","(653312, 8403)","(462336, 6257)","(462336, 6257)",True,True,False,False
task_2-1,"(506368, 8268)","(506368, 8268)","(371200, 6137)","(371200, 6137)",True,True,False,False
task_2-2,"(588288, 8382)","(588288, 8382)","(431616, 6237)","(431616, 6237)",True,True,False,False
task_2-3,"(668672, 8403)","(668672, 8403)","(471040, 6257)","(471040, 6257)",True,True,False,False
task_3-1,"(539648, 7226)","(539648, 7226)","(409600, 5641)","(409600, 5641)",True,True,False,False
task_3-2,"(818176, 8531)","(818176, 8531)","(573952, 6271)","(573952, 6271)",True,True,False,False
task_3-3,"(86528, 7072)","(86528, 7072)","(64000, 5507)","(64000, 5507)",True,True,False,False
task_4-1,"(107520, 8513)","(107520, 8513)","(69632, 6261)","(69632, 6261)",True,True,False,False
task_4-2,"(107520, 8513)","(107520, 8513)","(69632, 6261)","(69632, 6261)",True,True,False,False
task_4-3,"(73728, 8062)","(73728, 8062)","(49152, 5952)","(49152, 5952)",True,True,False,False
task_4-4,"(134144, 8912)","(134144, 8912)","(74752, 6473)","(74752, 6473)",True,True,False,False
task_4-5,"(79872, 5468)","(79872, 5468)","(32256, 3065)","(32256, 3065)",True,True,False,False
